,nome,porcentagem_desconto,preco,tipo
0,devil may cry 5 + vergil,67,29.69,padrao
1,batman arkham origins  season pass,85,5.54,dlc
2,street fighter 6  deluxe edition,12,318.55,prevenda
3,mortal kombat 11 ultimate,80,55.99,padrao
4,xbox  cartao presente digital 20 reais,0,20.0,padrao
5,back 4 blood,85,41.99,padrao
6,bully scholarship edition,0,39.99,padrao
7,tom clancys the division 2  warlords of new york expansion,85,13.49,dlc
8,mortal kombat 1  premium edition,14,386.9,prevenda
9,xbox  cartao presente digital 70 reais,0,70.0,padrao
10,lego batman 3 beyond gotham  premium edition,94,8.0,padrao
11,euro truck simulator,0,10.49,padrao
12,devil may cry hd collection,67,23.09,padrao
13,castlevania lords of shadow 2  revelations,0,15.99,dlc
14,tom clancys the division 2  warlords of new york edition,85,26.99,padrao
15,the evil within 2,80,31.0,padrao
16,batman arkham knight  premium edition,90,17.99,padrao
17,rain world,0,73.99,padrao
18,devil may cry 4 ediçao especial,70,14.99,padrao
19,middleearth shadow of war  the blade of galadriel story expansion,82,8.09,dlc
20,dragons dogma dark arisen,85,10.79,padrao
21,street fighter 6,12,219.11,prevenda
22,resident evil 2  biohazard re2  deluxe edition,75,27.49,padrao
23,f.e.a.r. 3,94,4.5,padrao
24,resident evil 7 biohazard gold edition,74,22.64,padrao
25,mortal kombat x,90,8.99,padrao
26,castlevania lords of shadow  ultimate edition,0,49.99,padrao
27,mortal kombat 11,90,22.99,padrao
28,lego marvel vingadores deluxe edition,94,6.5,padrao
29,mortal kombat 11 kombat pack 1,90,5.99,dlc
30,lego harry potter years 57,90,8.99,padrao
31,lego batman,94,4.5,padrao
32,batman arkham knight,90,8.99,padrao
33,tom clancys rainbow six  siege  standard edition,60,23.99,padrao
34,xbox game pass ultimate  1 mes,0,44.99,padrao
35,middleearth shadow of war  expansion pass,94,3.5,dlc
36,lego batman 2 dc super heroes,94,4.5,padrao
37,blasphemous,0,59.9,padrao
38,riot points  gift card digital 50 reais,0,50.0,padrao
39,doom ii,60,3.59,padrao
40,v rising,20,30.39,padrao
41,subnautica below zero,40,34.79,padrao
42,heroes of might  magic iii hd edition,75,11.24,padrao
43,v rising  draculas relics pack,20,16.55,dlc
